execution_order,graph_id,code_length,lower_bound,upper_bound,classification
1,icosphere_l0,4,2,2,exact
2,icosphere_l0,5,2,2,exact
3,icosphere_l0,6,2,2,exact
4,icosphere_l0,8,2,2,exact
5,icosphere_l1,6,2,2,exact
6,icosphere_l1,7,2,2,exact
7,icosphere_l1,8,2,2,exact
8,icosphere_l1,10,2,2,exact
9,primitive_q2_knn4,7,2,3,bounded
10,primitive_q2_knn4,9,2,2,exact
11,primitive_q2_knn6,7,2,3,bounded
12,primitive_q2_knn6,9,2,3,bounded
13,primitive_q2_knn8,7,2,4,bounded
14,primitive_q2_knn8,9,2,3,bounded
15,icosphere_l2,8,2,4,bounded
16,icosphere_l2,9,2,3,bounded
17,icosphere_l2,10,2,3,bounded
18,icosphere_l2,12,2,4,bounded
19,primitive_q3_knn4,9,2,4,bounded
20,primitive_q3_knn6,9,2,5,bounded
21,primitive_q3_knn8,9,2,5,bounded
