graph_id,family,resolution_parameter,vertices,edges,minimum_injective_bits,neighbour_definition
icosphere_l0,icosphere_triangulation,level 0,12,30,4,closed-sphere triangulation adjacency
icosphere_l1,icosphere_triangulation,level 1,42,120,6,closed-sphere triangulation adjacency
icosphere_l2,icosphere_triangulation,level 2,162,480,8,closed-sphere triangulation adjacency
icosphere_l3,icosphere_triangulation,level 3,642,1920,10,closed-sphere triangulation adjacency
primitive_q2_knn4,primitive_integer_directions,"q=2, k=4",98,264,7,tie-complete symmetric angular k-nearest neighbours
primitive_q2_knn6,primitive_integer_directions,"q=2, k=6",98,336,7,tie-complete symmetric angular k-nearest neighbours
primitive_q2_knn8,primitive_integer_directions,"q=2, k=8",98,444,7,tie-complete symmetric angular k-nearest neighbours
primitive_q3_knn4,primitive_integer_directions,"q=3, k=4",290,744,9,tie-complete symmetric angular k-nearest neighbours
primitive_q3_knn6,primitive_integer_directions,"q=3, k=6",290,1104,9,tie-complete symmetric angular k-nearest neighbours
primitive_q3_knn8,primitive_integer_directions,"q=3, k=8",290,1416,9,tie-complete symmetric angular k-nearest neighbours
primitive_q4_knn4,primitive_integer_directions,"q=4, k=4",578,1416,10,tie-complete symmetric angular k-nearest neighbours
primitive_q4_knn6,primitive_integer_directions,"q=4, k=6",578,2184,10,tie-complete symmetric angular k-nearest neighbours
primitive_q4_knn8,primitive_integer_directions,"q=4, k=8",578,2736,10,tie-complete symmetric angular k-nearest neighbours
