graph_id,family,encoding_id,code_length,hamming_distance,edge_count,edge_fraction
icosphere_l0,icosphere_triangulation,canonical_index_binary,4,0,0,0.0
icosphere_l0,icosphere_triangulation,canonical_index_binary,4,1,10,0.3333333333333333
icosphere_l0,icosphere_triangulation,canonical_index_binary,4,2,10,0.3333333333333333
icosphere_l0,icosphere_triangulation,canonical_index_binary,4,3,8,0.26666666666666666
icosphere_l0,icosphere_triangulation,canonical_index_binary,4,4,2,0.06666666666666667
icosphere_l0,icosphere_triangulation,canonical_index_gray,4,0,0,0.0
icosphere_l0,icosphere_triangulation,canonical_index_gray,4,1,10,0.3333333333333333
icosphere_l0,icosphere_triangulation,canonical_index_gray,4,2,10,0.3333333333333333
icosphere_l0,icosphere_triangulation,canonical_index_gray,4,3,8,0.26666666666666666
icosphere_l0,icosphere_triangulation,canonical_index_gray,4,4,2,0.06666666666666667
icosphere_l1,icosphere_triangulation,canonical_index_binary,6,0,0,0.0
icosphere_l1,icosphere_triangulation,canonical_index_binary,6,1,28,0.23333333333333334
icosphere_l1,icosphere_triangulation,canonical_index_binary,6,2,27,0.225
icosphere_l1,icosphere_triangulation,canonical_index_binary,6,3,36,0.3
icosphere_l1,icosphere_triangulation,canonical_index_binary,6,4,18,0.15
icosphere_l1,icosphere_triangulation,canonical_index_binary,6,5,10,0.08333333333333333
icosphere_l1,icosphere_triangulation,canonical_index_binary,6,6,1,0.008333333333333333
icosphere_l1,icosphere_triangulation,canonical_index_gray,6,0,0,0.0
icosphere_l1,icosphere_triangulation,canonical_index_gray,6,1,35,0.2916666666666667
icosphere_l1,icosphere_triangulation,canonical_index_gray,6,2,38,0.31666666666666665
icosphere_l1,icosphere_triangulation,canonical_index_gray,6,3,29,0.24166666666666667
icosphere_l1,icosphere_triangulation,canonical_index_gray,6,4,12,0.1
icosphere_l1,icosphere_triangulation,canonical_index_gray,6,5,6,0.05
icosphere_l1,icosphere_triangulation,canonical_index_gray,6,6,0,0.0
icosphere_l2,icosphere_triangulation,canonical_index_binary,8,0,0,0.0
icosphere_l2,icosphere_triangulation,canonical_index_binary,8,1,63,0.13125
icosphere_l2,icosphere_triangulation,canonical_index_binary,8,2,93,0.19375
icosphere_l2,icosphere_triangulation,canonical_index_binary,8,3,93,0.19375
icosphere_l2,icosphere_triangulation,canonical_index_binary,8,4,102,0.2125
icosphere_l2,icosphere_triangulation,canonical_index_binary,8,5,87,0.18125
icosphere_l2,icosphere_triangulation,canonical_index_binary,8,6,29,0.06041666666666667
