execution_order,graph_id,code_length,baseline_upper_bound,final_upper_bound,baseline_gap_closed
1,icosphere_l0,4,4,2,2
2,icosphere_l0,5,4,2,2
3,icosphere_l0,6,4,2,2
4,icosphere_l0,8,4,2,2
5,icosphere_l1,6,5,2,3
6,icosphere_l1,7,5,2,3
7,icosphere_l1,8,5,2,3
8,icosphere_l1,10,5,2,3
9,primitive_q2_knn4,7,6,3,3
10,primitive_q2_knn4,9,3,2,1
11,primitive_q2_knn6,7,6,3,3
12,primitive_q2_knn6,9,3,3,0
13,primitive_q2_knn8,7,6,4,2
14,primitive_q2_knn8,9,3,3,0
15,icosphere_l2,8,8,4,4
16,icosphere_l2,9,8,3,5
17,icosphere_l2,10,8,3,5
18,icosphere_l2,12,8,4,4
19,primitive_q3_knn4,9,5,4,1
20,primitive_q3_knn6,9,5,5,0
21,primitive_q3_knn8,9,5,5,0
