execution_order,graph_id,code_length,classification,structural_lower_bound,baseline_upper_bound,final_lower_bound,final_upper_bound,targets_planned,targets_attempted,unknown_target_count
1,icosphere_l0,4,exact,2,4,2,2,2,1,0
2,icosphere_l0,5,exact,2,4,2,2,2,1,0
3,icosphere_l0,6,exact,2,4,2,2,2,1,0
4,icosphere_l0,8,exact,2,4,2,2,2,1,0
5,icosphere_l1,6,exact,2,5,2,2,3,1,0
6,icosphere_l1,7,exact,2,5,2,2,3,1,0
7,icosphere_l1,8,exact,2,5,2,2,3,1,0
8,icosphere_l1,10,exact,2,5,2,2,3,1,0
9,primitive_q2_knn4,7,bounded,2,6,2,3,4,4,1
10,primitive_q2_knn4,9,exact,2,3,2,2,1,1,0
11,primitive_q2_knn6,7,bounded,2,6,2,3,4,4,1
12,primitive_q2_knn6,9,bounded,2,3,2,3,1,1,1
13,primitive_q2_knn8,7,bounded,2,6,2,4,4,4,2
14,primitive_q2_knn8,9,bounded,2,3,2,3,1,1,1
15,icosphere_l2,8,bounded,2,8,2,4,6,6,2
16,icosphere_l2,9,bounded,2,8,2,3,6,6,1
17,icosphere_l2,10,bounded,2,8,2,3,6,6,1
18,icosphere_l2,12,bounded,2,8,2,4,6,6,2
19,primitive_q3_knn4,9,bounded,2,5,2,4,3,3,2
20,primitive_q3_knn6,9,bounded,2,5,2,5,3,3,3
21,primitive_q3_knn8,9,bounded,2,5,2,5,3,3,3
