execution_order,graph_id,code_length,target_order_within_instance,target_r,budget_seconds,status,model_sha256,variable_count,constraint_count,wall_time_seconds,user_time_seconds,conflict_count,branch_count,has_feasible_witness,certifies_infeasibility,witness_l_max,witness_codebook_sha256
1,icosphere_l0,4,1,2,150,OPTIMAL,200f2e6ac07d74696b2a5d121803a6bb996c9242b8867a0f65170a49aa21cac9,180,165,0.018080000000000002,0.018080000000000002,34,1801,True,False,2,007d01b6cf9d673a09fbab5d341eb0d14364c2137c4a4c1bc89647ae9fcfb351
2,icosphere_l0,5,1,2,150,OPTIMAL,c1df5abfee04084193a5169cff888c141dc1fd2fda4c3a0ce31813e87ce2af55,222,195,0.019205,0.019205,11,3059,True,False,2,bea2ac09fdaa3009e5cee4d68324aa92869efc5f19f1a41bebc8279c93e64b86
3,icosphere_l0,6,1,2,150,OPTIMAL,e15e2344b9a2ce7ba2332754a746e50c0fef284829d59077d82cc30c1084a91e,264,225,0.018084000000000003,0.018084000000000003,95,1440,True,False,2,397f3ebe0a949371843bfd4b034908a0c3a9b83b908d94d0dcdec1a88c1bfaa8
4,icosphere_l0,8,1,2,150,OPTIMAL,4d3423fb60c646e52ab92ec945cc059047f10b10b2fdfca750de398f2b97bd96,348,285,0.01064,0.01064,65,1866,True,False,2,f0acb68b5fb1d755d61bb773d1047023c17f064f1b5a12491f3ee62174929d3f
5,icosphere_l1,6,1,2,400,OPTIMAL,820b241f289c4405131c33458bf7eef3b4579baa363b61f756fba3dee1d95c72,1014,885,10.058371000000001,10.058371000000001,3601,395597,True,False,2,a68fdae72da11cdf5c0169aa1fc12af8127f4de99481e7681ec3fd173bc03b24
6,icosphere_l1,7,1,2,400,OPTIMAL,03162a44ff3d0564b0ac1668c6414f49cbeb94c9317ac44b7fd7d7fb2a38f41b,1176,1005,7.833133,7.833133,5638,100341,True,False,2,3c4c9319363a21cac53e317d3c1347340a854df8377be615d7c276332e006d22
7,icosphere_l1,8,1,2,400,OPTIMAL,83da660a9bdc054060454fcd031229f14c21204083e4046383074cb70fd5bef6,1338,1125,7.878605,7.878605,5370,54226,True,False,2,6be3620f75040e913e371c65d16f7cd14235345520ef23aea7908672c8b300a5
8,icosphere_l1,10,1,2,400,OPTIMAL,23a9c201c955e87f9be0a94d80534333cd4adca9a2e1c1d22a9b3136b808f565,1662,1365,10.840113,10.840113,10870,48292,True,False,2,511769d8ba5c15d1a28de42ce6a5eac020ab3522b3f375f6a244c0d0664d05c3
9,primitive_q2_knn4,7,1,2,900,UNKNOWN,d3c629524d2bf14720a0c3a4e2307c012b3b8078b0696a6bafc3878a412deaf3,2632,2213,900.002818,900.002818,65880,13851061,False,False,,
9,primitive_q2_knn4,7,2,3,900,OPTIMAL,e70fc236f86955d57827e6246f94c5c9174216e6d477ee54ea75015e64a1e4c2,2632,2213,21.585808,21.585808,1701,374035,True,False,3,34403a019a878309ac545cedeeedf755c6650a970e8acf12b83067a23a632bde
9,primitive_q2_knn4,7,3,4,900,OPTIMAL,aa3d61bf11c4010c5abdaab97d6215a8d04ffeeb232150a5e83885c96b11fb3e,2632,2213,4.597,4.597,351,160414,True,False,4,f16a6ca93090630c514549ba913b6ddef1663bf856126f90db0fcb7a47534800
9,primitive_q2_knn4,7,4,5,900,OPTIMAL,adcc385e4d7030f2df5f8e2bb38cc4add193e90dc8d5f1e8a7a813e0c8fa1885,2632,2213,1.265622,1.265622,9,153872,True,False,5,7b7b4c19b4028e9ff4a9a9a3642d35b89a4f154f6db86ef470b3ab4c45b56bba
10,primitive_q2_knn4,9,1,2,3600,OPTIMAL,5052cba816e5d16b6911bbaefcb478bec108bb87db70b177a252dc7dc7c13b26,3356,2741,1140.085724,1140.085724,103025,8566390,True,False,2,e31e5ff7a640a149181ed572509fe5f991c2005b531b07d2deb8dc6be305f88f
11,primitive_q2_knn6,7,1,2,900,UNKNOWN,d1791888e0b9338ccdb408cb7bcb39492aabd1245806d888272b441cc5d0815f,3136,2789,900.0023130000001,900.0023130000001,49366,15429744,False,False,,
11,primitive_q2_knn6,7,2,3,900,OPTIMAL,2279eaaca0672a3dec189300668f1e936edbedd12f069655ae216c3fa701fd59,3136,2789,163.298154,163.298154,11233,2481267,True,False,3,cf86034c90cdd395a4d058052f2e8e02d68660b08afbabd9079dc5b39c0561f1
