execution_order,graph_id,graph_family,vertex_count,edge_count,code_length,accepted_lower_bound,stage3_cartesian_gray_upper_bound,stage4_witness_upper_bound,pre_stage5_accepted_upper_bound,stage5_final_upper_bound,stage5_direct_upper_bound_improvement,stage5_vs_stage3_improvement,classification,direct_stage5_witness,exact_optimum_established
1,icosphere_l2,Icosphere,162,480,8,2,8,4,4,3,1,5,heuristic_upper_bound_improved,True,False
2,icosphere_l2,Icosphere,162,480,9,2,8,3,3,3,0,5,no_direct_improvement,False,False
3,icosphere_l2,Icosphere,162,480,10,2,8,3,3,3,0,5,no_direct_improvement,False,False
4,icosphere_l2,Icosphere,162,480,12,2,8,3,3,3,0,5,no_direct_improvement,False,False
5,icosphere_l3,Icosphere,642,1920,10,2,10,,10,4,6,6,heuristic_upper_bound_improved,True,False
6,icosphere_l3,Icosphere,642,1920,11,2,10,,10,4,6,6,heuristic_upper_bound_improved,True,False
7,icosphere_l3,Icosphere,642,1920,12,2,10,,10,5,5,5,heuristic_upper_bound_improved,True,False
8,icosphere_l3,Icosphere,642,1920,14,2,10,,10,6,4,4,heuristic_upper_bound_improved,True,False
9,primitive_q2_knn4,Primitive q=2,98,264,7,2,6,3,3,3,0,3,no_direct_improvement,False,False
10,primitive_q2_knn4,Primitive q=2,98,264,8,2,6,3,3,3,0,3,no_direct_improvement,False,False
11,primitive_q2_knn4,Primitive q=2,98,264,11,2,3,2,2,2,0,1,exact_by_accepted_transfer,False,True
12,primitive_q2_knn6,Primitive q=2,98,336,7,2,6,3,3,3,0,3,no_direct_improvement,False,False
13,primitive_q2_knn6,Primitive q=2,98,336,8,2,6,3,3,3,0,3,no_direct_improvement,False,False
14,primitive_q2_knn6,Primitive q=2,98,336,9,2,3,3,3,3,0,0,no_direct_improvement,False,False
15,primitive_q2_knn6,Primitive q=2,98,336,11,2,3,3,3,3,0,0,no_direct_improvement,False,False
16,primitive_q2_knn8,Primitive q=2,98,444,7,2,6,4,4,3,1,3,heuristic_upper_bound_improved,True,False
17,primitive_q2_knn8,Primitive q=2,98,444,8,2,6,4,4,3,1,3,heuristic_upper_bound_improved,True,False
18,primitive_q2_knn8,Primitive q=2,98,444,9,2,3,4,3,3,0,0,no_direct_improvement,False,False
19,primitive_q2_knn8,Primitive q=2,98,444,11,2,3,4,3,3,0,0,no_direct_improvement,False,False
20,primitive_q3_knn4,Primitive q=3,290,744,9,2,5,4,4,3,1,2,heuristic_upper_bound_improved,True,False
21,primitive_q3_knn4,Primitive q=3,290,744,10,2,5,4,4,3,1,2,heuristic_upper_bound_improved,True,False
22,primitive_q3_knn4,Primitive q=3,290,744,11,2,5,4,4,4,0,1,no_direct_improvement,False,False
23,primitive_q3_knn4,Primitive q=3,290,744,13,2,5,4,4,4,0,1,no_direct_improvement,False,False
24,primitive_q3_knn6,Primitive q=3,290,1104,9,2,5,,5,3,2,2,heuristic_upper_bound_improved,True,False
25,primitive_q3_knn6,Primitive q=3,290,1104,10,2,5,,5,4,1,1,heuristic_upper_bound_improved,True,False
26,primitive_q3_knn6,Primitive q=3,290,1104,11,2,5,,5,4,1,1,heuristic_upper_bound_improved,True,False
27,primitive_q3_knn6,Primitive q=3,290,1104,13,2,5,,5,5,0,0,no_direct_improvement,False,False
28,primitive_q3_knn8,Primitive q=3,290,1416,9,2,5,,5,4,1,1,heuristic_upper_bound_improved,True,False
29,primitive_q3_knn8,Primitive q=3,290,1416,10,2,5,,5,4,1,1,heuristic_upper_bound_improved,True,False
30,primitive_q3_knn8,Primitive q=3,290,1416,11,2,5,,5,4,1,1,heuristic_upper_bound_improved,True,False
31,primitive_q3_knn8,Primitive q=3,290,1416,13,2,5,,5,4,1,1,heuristic_upper_bound_improved,True,False
32,primitive_q4_knn4,Primitive q=4,578,1416,10,2,9,,9,4,5,5,heuristic_upper_bound_improved,True,False
33,primitive_q4_knn4,Primitive q=4,578,1416,11,2,9,,9,4,5,5,heuristic_upper_bound_improved,True,False
34,primitive_q4_knn4,Primitive q=4,578,1416,12,2,8,,8,5,3,3,heuristic_upper_bound_improved,True,False
35,primitive_q4_knn4,Primitive q=4,578,1416,14,2,8,,8,5,3,3,heuristic_upper_bound_improved,True,False
36,primitive_q4_knn6,Primitive q=4,578,2184,10,2,9,,9,4,5,5,heuristic_upper_bound_improved,True,False
37,primitive_q4_knn6,Primitive q=4,578,2184,11,2,9,,9,5,4,4,heuristic_upper_bound_improved,True,False
38,primitive_q4_knn6,Primitive q=4,578,2184,12,2,8,,8,5,3,3,heuristic_upper_bound_improved,True,False
39,primitive_q4_knn6,Primitive q=4,578,2184,14,2,8,,8,5,3,3,heuristic_upper_bound_improved,True,False
40,primitive_q4_knn8,Primitive q=4,578,2736,10,2,9,,9,4,5,5,heuristic_upper_bound_improved,True,False
41,primitive_q4_knn8,Primitive q=4,578,2736,11,2,9,,9,5,4,4,heuristic_upper_bound_improved,True,False
42,primitive_q4_knn8,Primitive q=4,578,2736,12,2,8,,8,5,3,3,heuristic_upper_bound_improved,True,False
43,primitive_q4_knn8,Primitive q=4,578,2736,14,2,8,,8,5,3,3,heuristic_upper_bound_improved,True,False
