execution_order,graph_id,vertex_count,edge_count,code_length,accepted_lower_bound,pre_stage5_upper_bound,final_upper_bound,upper_bound_improvement,classification,source_class,source_id,source_code_length,target_code_length,zero_padding_bits,transfer_rule,selected_target_r,codebook_path,codebook_sha256
1,icosphere_l2,162,480,8,2,4,3,1,heuristic_upper_bound_improved,stage5_heuristic_witness,run_02_stage4_witness_restart_01,8,8,0,same_length,3,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/icosphere_l2/m8/targets/r3/runs/run_02_stage4_witness_restart_01/best_codebook.npy,fec2b7b22bf0abbe20067f5277eb22239a6966a4425cf166f7a42638fcee2116
2,icosphere_l2,162,480,9,2,3,3,0,no_direct_improvement,stage4_witness,m9_r3,9,9,0,same_length,,results/raw/stage4-exact-free-codebook-97021c6cac03-7adb5b49f2cb/icosphere_l2/m9/targets/r3/codebook.npy,3d5b152d60d3553af247af924e5bbdb17fc67ad0f9364f602f421daa4232c7c1
3,icosphere_l2,162,480,10,2,3,3,0,no_direct_improvement,stage4_witness,m10_r3,10,10,0,same_length,,results/raw/stage4-exact-free-codebook-97021c6cac03-7adb5b49f2cb/icosphere_l2/m10/targets/r3/codebook.npy,9eeceb89c42099c8d5695a39c0796157aa8734e087fd9607ce11f31ccd82c37e
4,icosphere_l2,162,480,12,2,3,3,0,no_direct_improvement,stage4_witness,m10_r3,10,12,2,append_zero_bits,,results/raw/stage4-exact-free-codebook-97021c6cac03-7adb5b49f2cb/icosphere_l2/m10/targets/r3/codebook.npy,9eeceb89c42099c8d5695a39c0796157aa8734e087fd9607ce11f31ccd82c37e
5,icosphere_l3,642,1920,10,2,10,4,6,heuristic_upper_bound_improved,stage5_heuristic_witness,run_01_stage3_baseline_restart_00,10,10,0,same_length,4,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/icosphere_l3/m10/targets/r4/runs/run_01_stage3_baseline_restart_00/best_codebook.npy,0cd8032f0e8ba291652679aa0f73d4653b061f2f00ff4b600b95832a5564d7e6
6,icosphere_l3,642,1920,11,2,10,4,6,heuristic_upper_bound_improved,stage5_heuristic_witness,run_03_deterministic_random_restart_00,11,11,0,same_length,4,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/icosphere_l3/m11/targets/r4/runs/run_03_deterministic_random_restart_00/best_codebook.npy,4a381a1e4242c5ce5af3854253080b978f80fdf6c39445c7416c8d6987223715
7,icosphere_l3,642,1920,12,2,10,5,5,heuristic_upper_bound_improved,stage5_heuristic_witness,run_01_stage3_baseline_restart_00,12,12,0,same_length,5,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/icosphere_l3/m12/targets/r5/runs/run_01_stage3_baseline_restart_00/best_codebook.npy,5d4a866ee3f8cb49ffa04777f8fa120446b0a21f76db4d6a704857be697131a1
8,icosphere_l3,642,1920,14,2,10,6,4,heuristic_upper_bound_improved,stage5_heuristic_witness,run_03_deterministic_random_restart_00,14,14,0,same_length,6,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/icosphere_l3/m14/targets/r6/runs/run_03_deterministic_random_restart_00/best_codebook.npy,5425d5f96e0cdc22c5d38cf44d2ec0f98ba105a8c0a68d7657e809feeaaa6fce
9,primitive_q2_knn4,98,264,7,2,3,3,0,no_direct_improvement,stage4_witness,m7_r3,7,7,0,same_length,,results/raw/stage4-exact-free-codebook-97021c6cac03-7adb5b49f2cb/primitive_q2_knn4/m7/targets/r3/codebook.npy,34403a019a878309ac545cedeeedf755c6650a970e8acf12b83067a23a632bde
10,primitive_q2_knn4,98,264,8,2,3,3,0,no_direct_improvement,stage4_witness,m7_r3,7,8,1,append_zero_bits,,results/raw/stage4-exact-free-codebook-97021c6cac03-7adb5b49f2cb/primitive_q2_knn4/m7/targets/r3/codebook.npy,34403a019a878309ac545cedeeedf755c6650a970e8acf12b83067a23a632bde
11,primitive_q2_knn4,98,264,11,2,2,2,0,exact_by_accepted_transfer,stage4_witness,m9_r2,9,11,2,append_zero_bits,,results/raw/stage4-exact-free-codebook-97021c6cac03-7adb5b49f2cb/primitive_q2_knn4/m9/targets/r2/codebook.npy,e31e5ff7a640a149181ed572509fe5f991c2005b531b07d2deb8dc6be305f88f
12,primitive_q2_knn6,98,336,7,2,3,3,0,no_direct_improvement,stage4_witness,m7_r3,7,7,0,same_length,,results/raw/stage4-exact-free-codebook-97021c6cac03-7adb5b49f2cb/primitive_q2_knn6/m7/targets/r3/codebook.npy,cf86034c90cdd395a4d058052f2e8e02d68660b08afbabd9079dc5b39c0561f1
13,primitive_q2_knn6,98,336,8,2,3,3,0,no_direct_improvement,stage4_witness,m7_r3,7,8,1,append_zero_bits,,results/raw/stage4-exact-free-codebook-97021c6cac03-7adb5b49f2cb/primitive_q2_knn6/m7/targets/r3/codebook.npy,cf86034c90cdd395a4d058052f2e8e02d68660b08afbabd9079dc5b39c0561f1
14,primitive_q2_knn6,98,336,9,2,3,3,0,no_direct_improvement,stage3_baseline,cartesian_coordinate_gray,9,9,0,same_length,,results/raw/stage3-deterministic-baselines-3fad68b97de9-f07ae893574e/primitive_q2_knn6/cartesian_coordinate_gray/codes.npy,18647a175779d3a8ea05730085a1584875d22a50a2d0b4627a57a44b838643f9
15,primitive_q2_knn6,98,336,11,2,3,3,0,no_direct_improvement,stage3_baseline,cartesian_coordinate_gray,9,11,2,append_zero_bits,,results/raw/stage3-deterministic-baselines-3fad68b97de9-f07ae893574e/primitive_q2_knn6/cartesian_coordinate_gray/codes.npy,18647a175779d3a8ea05730085a1584875d22a50a2d0b4627a57a44b838643f9
16,primitive_q2_knn8,98,444,7,2,4,3,1,heuristic_upper_bound_improved,stage5_heuristic_witness,run_02_stage4_witness_restart_01,7,7,0,same_length,3,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q2_knn8/m7/targets/r3/runs/run_02_stage4_witness_restart_01/best_codebook.npy,edaafa7be231fea421b40e060ebd5064c8420ae6ad67a5ea6f463a3e4b8a41ea
17,primitive_q2_knn8,98,444,8,2,4,3,1,heuristic_upper_bound_improved,stage5_heuristic_witness,run_03_stage3_baseline_restart_00,8,8,0,same_length,3,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q2_knn8/m8/targets/r3/runs/run_03_stage3_baseline_restart_00/best_codebook.npy,231bc760b19aa9a8f2f6b184ed4d377450e00c7e1cfe9dd85e27f25500f4598c
18,primitive_q2_knn8,98,444,9,2,3,3,0,no_direct_improvement,stage3_baseline,cartesian_coordinate_gray,9,9,0,same_length,,results/raw/stage3-deterministic-baselines-3fad68b97de9-f07ae893574e/primitive_q2_knn8/cartesian_coordinate_gray/codes.npy,18647a175779d3a8ea05730085a1584875d22a50a2d0b4627a57a44b838643f9
19,primitive_q2_knn8,98,444,11,2,3,3,0,no_direct_improvement,stage3_baseline,cartesian_coordinate_gray,9,11,2,append_zero_bits,,results/raw/stage3-deterministic-baselines-3fad68b97de9-f07ae893574e/primitive_q2_knn8/cartesian_coordinate_gray/codes.npy,18647a175779d3a8ea05730085a1584875d22a50a2d0b4627a57a44b838643f9
20,primitive_q3_knn4,290,744,9,2,4,3,1,heuristic_upper_bound_improved,stage5_heuristic_witness,run_02_stage4_witness_restart_01,9,9,0,same_length,3,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q3_knn4/m9/targets/r3/runs/run_02_stage4_witness_restart_01/best_codebook.npy,d0726424a828788751c68f6f2280f2c85af7ae90da94d1bc0c93d471af51dd82
21,primitive_q3_knn4,290,744,10,2,4,3,1,heuristic_upper_bound_improved,stage5_heuristic_witness,run_03_stage3_baseline_restart_00,10,10,0,same_length,3,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q3_knn4/m10/targets/r3/runs/run_03_stage3_baseline_restart_00/best_codebook.npy,b1af136b406225e128bfe2fe8745fa41c85b660c9e0925a1e7bb0bc6edc7dc8c
22,primitive_q3_knn4,290,744,11,2,4,4,0,no_direct_improvement,stage4_witness,m9_r4,9,11,2,append_zero_bits,,results/raw/stage4-exact-free-codebook-97021c6cac03-7adb5b49f2cb/primitive_q3_knn4/m9/targets/r4/codebook.npy,4e01e6cbde04343d5dc8d8dbbab4df671216023f2a6c4a575d86800573963fa2
23,primitive_q3_knn4,290,744,13,2,4,4,0,no_direct_improvement,stage4_witness,m9_r4,9,13,4,append_zero_bits,,results/raw/stage4-exact-free-codebook-97021c6cac03-7adb5b49f2cb/primitive_q3_knn4/m9/targets/r4/codebook.npy,4e01e6cbde04343d5dc8d8dbbab4df671216023f2a6c4a575d86800573963fa2
24,primitive_q3_knn6,290,1104,9,2,5,3,2,heuristic_upper_bound_improved,stage5_heuristic_witness,run_01_stage3_baseline_restart_00,9,9,0,same_length,3,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q3_knn6/m9/targets/r3/runs/run_01_stage3_baseline_restart_00/best_codebook.npy,8453603ae211d7608b0490dcfa812c6dd6b46539beec4ef890ee2414b878f393
25,primitive_q3_knn6,290,1104,10,2,5,4,1,heuristic_upper_bound_improved,stage5_heuristic_witness,run_03_deterministic_random_restart_00,10,10,0,same_length,4,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q3_knn6/m10/targets/r4/runs/run_03_deterministic_random_restart_00/best_codebook.npy,32e9af55ea813ae29e9ab7df28420457351686c2951a428e4f87387bebfbdc9f
26,primitive_q3_knn6,290,1104,11,2,5,4,1,heuristic_upper_bound_improved,stage5_heuristic_witness,run_02_stage3_baseline_restart_01,11,11,0,same_length,4,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q3_knn6/m11/targets/r4/runs/run_02_stage3_baseline_restart_01/best_codebook.npy,5737e6851dee65e93f4b697fa9c52299563b7cc0016f899cfa9f4f07f2672c72
27,primitive_q3_knn6,290,1104,13,2,5,5,0,no_direct_improvement,stage3_baseline,cartesian_coordinate_gray,9,13,4,append_zero_bits,,results/raw/stage3-deterministic-baselines-3fad68b97de9-f07ae893574e/primitive_q3_knn6/cartesian_coordinate_gray/codes.npy,9d35e92c659f540a7c4c2539aff19931dd03a9d27f0e84de7609529862d32972
28,primitive_q3_knn8,290,1416,9,2,5,4,1,heuristic_upper_bound_improved,stage5_heuristic_witness,run_02_stage3_baseline_restart_01,9,9,0,same_length,4,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q3_knn8/m9/targets/r4/runs/run_02_stage3_baseline_restart_01/best_codebook.npy,bf9d9631e6c2ade7b9ce3ccf30c643ff263afbfabd5adcaf6274ca0c4caec96d
29,primitive_q3_knn8,290,1416,10,2,5,4,1,heuristic_upper_bound_improved,stage5_heuristic_witness,run_01_stage3_baseline_restart_00,10,10,0,same_length,4,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q3_knn8/m10/targets/r4/runs/run_01_stage3_baseline_restart_00/best_codebook.npy,af39d0738b3510077489251518e2d24b4221643b500d903626d87e0bdd9ac6a1
30,primitive_q3_knn8,290,1416,11,2,5,4,1,heuristic_upper_bound_improved,stage5_heuristic_witness,run_01_stage3_baseline_restart_00,11,11,0,same_length,4,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q3_knn8/m11/targets/r4/runs/run_01_stage3_baseline_restart_00/best_codebook.npy,175aa6d2cadccbbef8fa04eebd85c4eea4f23fef38c6f3d2fca7ccba72f256a0
31,primitive_q3_knn8,290,1416,13,2,5,4,1,heuristic_upper_bound_improved,stage5_heuristic_witness,run_01_stage3_baseline_restart_00,13,13,0,same_length,4,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q3_knn8/m13/targets/r4/runs/run_01_stage3_baseline_restart_00/best_codebook.npy,4bdecd48ed89aa6de9eff9e001b617a8beec0772dc40e8a59335ee917ddc6c7d
32,primitive_q4_knn4,578,1416,10,2,9,4,5,heuristic_upper_bound_improved,stage5_heuristic_witness,run_02_stage3_baseline_restart_01,10,10,0,same_length,4,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q4_knn4/m10/targets/r4/runs/run_02_stage3_baseline_restart_01/best_codebook.npy,6d6ec31628c78b0108ea83dfb0e70bddd3760c29de37a231cc2d03b1399e9fb4
33,primitive_q4_knn4,578,1416,11,2,9,4,5,heuristic_upper_bound_improved,stage5_heuristic_witness,run_03_deterministic_random_restart_00,11,11,0,same_length,4,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q4_knn4/m11/targets/r4/runs/run_03_deterministic_random_restart_00/best_codebook.npy,9ddcb6cedb5df5bbf693169fc01b9cb06f37d3461f3224c87da192e222c95c18
34,primitive_q4_knn4,578,1416,12,2,8,5,3,heuristic_upper_bound_improved,stage5_heuristic_witness,run_01_stage3_baseline_restart_00,12,12,0,same_length,5,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q4_knn4/m12/targets/r5/runs/run_01_stage3_baseline_restart_00/best_codebook.npy,f34d3d007d45c01ea9a5aacc1b943cafee4c5112e0535f95c9711eb2c48c304c
35,primitive_q4_knn4,578,1416,14,2,8,5,3,heuristic_upper_bound_improved,stage5_heuristic_witness,run_02_stage3_baseline_restart_01,14,14,0,same_length,5,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q4_knn4/m14/targets/r5/runs/run_02_stage3_baseline_restart_01/best_codebook.npy,1cf128c9db3ccb87ed7ffd7177cd639bc4eeda1aad96a823ddda396972237358
36,primitive_q4_knn6,578,2184,10,2,9,4,5,heuristic_upper_bound_improved,stage5_heuristic_witness,run_04_deterministic_random_restart_01,10,10,0,same_length,4,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q4_knn6/m10/targets/r4/runs/run_04_deterministic_random_restart_01/best_codebook.npy,e68f2a2e7e1b344e836530a6de701093a3387f645df0b4de9d3de1a207b17774
37,primitive_q4_knn6,578,2184,11,2,9,5,4,heuristic_upper_bound_improved,stage5_heuristic_witness,run_02_stage3_baseline_restart_01,11,11,0,same_length,5,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q4_knn6/m11/targets/r5/runs/run_02_stage3_baseline_restart_01/best_codebook.npy,b2430b9a7dd6b66db5c654223a06dfd05023d75bf58947a3522a6d5df07514e0
38,primitive_q4_knn6,578,2184,12,2,8,5,3,heuristic_upper_bound_improved,stage5_heuristic_witness,run_02_stage3_baseline_restart_01,12,12,0,same_length,5,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q4_knn6/m12/targets/r5/runs/run_02_stage3_baseline_restart_01/best_codebook.npy,e6560dde610dbd20d8380b1fc0c20cc3f1eff166001a30d58ebb8ba25f556762
39,primitive_q4_knn6,578,2184,14,2,8,5,3,heuristic_upper_bound_improved,stage5_heuristic_witness,run_01_stage3_baseline_restart_00,14,14,0,same_length,5,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q4_knn6/m14/targets/r5/runs/run_01_stage3_baseline_restart_00/best_codebook.npy,a06e5b97c2aaa277a0d4ef96a985c4b14ed40d375aca437640bba671d28dbcb2
40,primitive_q4_knn8,578,2736,10,2,9,4,5,heuristic_upper_bound_improved,stage5_heuristic_witness,run_02_stage3_baseline_restart_01,10,10,0,same_length,4,results/raw/stage5-scalable-free-codebook-7766479ae4f6-d1b0d95b99ea/primitive_q4_knn8/m10/targets/r4/runs/run_02_stage3_baseline_restart_01/best_codebook.npy,419a74d698ba635531a745a4ab52a873327aacb4ed6d873fd3d7a9e41d9f1456
