execution_order,graph_id,code_length,target_order_within_instance,target_r,run_order_within_target,initialisation_class,initialisation_id,restart_index,seed,kernel_config_sha256,proposal_budget,proposals_executed,swap_proposals,replacement_proposals,accepted_moves,stopping_reason,success,first_success_proposal,initial_violation_count,initial_total_excess,initial_maximum_excess,initial_maximum_distance_edge_count,initial_total_local_hamming,best_violation_count,best_total_excess,best_maximum_excess,best_maximum_distance_edge_count,best_total_local_hamming,final_violation_count,final_total_excess,final_maximum_excess,final_maximum_distance_edge_count,final_total_local_hamming,initial_state_sha256,best_state_sha256,final_state_sha256,checkpoint_sha256
1,icosphere_l2,8,1,2,1,stage4_witness,m8_r4,0,10764238611498913600,504e0a4fe560587dfbe701876f75e5ab89a1824f1f251fd562d5e09fccf9217b,150000,150000,37415,112585,1652,proposal_budget_exhausted,False,,313,480,2,167,1391,21,24,2,3,848,21,24,2,3,848,b633a8281dc3f1fb867ea08e1caa4bad97c21ab5a70fc14fc0ba312237d5a09a,2ac7fe15a9721bd6000c8d7e52fdca9fa511a11456d16e21e73d7fd526770790,a9f936dc8de604f3ae0d27170cdbb452f866b49d8bf3f0f0163d812d6d606ae3,bbb756b37d21c2c744ce93ab329de9268a20c7e64be835d6aed2556f764a4974
1,icosphere_l2,8,1,2,2,stage4_witness,m8_r4,1,13948743919430557256,504e0a4fe560587dfbe701876f75e5ab89a1824f1f251fd562d5e09fccf9217b,150000,150000,37635,112365,1655,proposal_budget_exhausted,False,,313,480,2,167,1391,24,29,2,5,855,24,29,2,5,855,b633a8281dc3f1fb867ea08e1caa4bad97c21ab5a70fc14fc0ba312237d5a09a,771f3748dba9a1af36d2aed67dae94d0965d7b2cfdd879caf8d4402695fb4306,82013658b598a9bc2c3aaeb8064eca2cfdca4b9375f5b47ef64af83e57917d25,1a4b89a8583706e629b4a041a62ca5865bbfc6c24f8544fc4e4c3917fa8b0a55
1,icosphere_l2,8,1,2,3,stage3_baseline,canonical_index_binary,0,3640590775910135664,504e0a4fe560587dfbe701876f75e5ab89a1824f1f251fd562d5e09fccf9217b,150000,150000,37340,112660,1754,proposal_budget_exhausted,False,,324,741,6,2,1638,14,17,2,3,830,14,17,2,3,830,c96659d499594419a99d7d6e2587cc6ae519794e2e1229fbd0deb1ada399b5a0,6b8f163b2e3085813620f01fac019fa1c179a9a08aa39f57407c06ec98fc8ba2,c60b49f71d82d962f94951611ad93a11c64de563d51b04d023110b0f6d487af2,569d4615470646924908e33e705693972df451c3ddeb2e61d3f530d7642e0c08
1,icosphere_l2,8,1,2,4,stage3_baseline,canonical_index_binary,1,10028045686766961361,504e0a4fe560587dfbe701876f75e5ab89a1824f1f251fd562d5e09fccf9217b,150000,150000,37367,112633,1772,proposal_budget_exhausted,False,,324,741,6,2,1638,20,24,2,4,824,20,24,2,4,824,c96659d499594419a99d7d6e2587cc6ae519794e2e1229fbd0deb1ada399b5a0,58d49a4d61ee7654ffd6ffb39a2625fd425c68780003847d09e4be47aa488b6a,58d49a4d61ee7654ffd6ffb39a2625fd425c68780003847d09e4be47aa488b6a,0af7a8f6a7ec09c4506e0a75e0a7da1d43adbd23706deef6e437bea2b817fbfd
1,icosphere_l2,8,1,2,5,deterministic_random,deterministic_random_seed_17798449937275197381,0,6160430743627687681,504e0a4fe560587dfbe701876f75e5ab89a1824f1f251fd562d5e09fccf9217b,150000,150000,37460,112540,1809,proposal_budget_exhausted,False,,417,955,6,4,1906,24,30,2,6,881,24,30,2,6,881,1fa5710e9e876449c6efa00f059c58d412d3df78bde50dbc0986df8ffc8d9805,80a9be67295c02870bd73a243a05c18452be07cfbe688a2825d7828de2f80afa,d465e884c63b91053b929646d5f11cd0938c4787f9835f96443848fda27370ee,f267405e9504e8c10dd5dc9a035d868440e9043dc3a4543545ed300ea7b67d6f
1,icosphere_l2,8,1,2,6,deterministic_random,deterministic_random_seed_12488477213605269481,1,9970770334342544187,504e0a4fe560587dfbe701876f75e5ab89a1824f1f251fd562d5e09fccf9217b,150000,150000,37663,112337,1873,proposal_budget_exhausted,False,,415,979,6,3,1928,22,25,2,3,845,22,25,2,3,845,0f7fdd1642ba9a47d044f22b3d0ac3f26082eb5a478e491a2c97d6a7767ad669,72966bdbc97ea6d996522410de6c870c5836167f5ed3f6bc39b40050468436cc,bd080d7e7a2546a2fdb462e4ae60082350cb99a59b5d8aa9678997f78ace7b7e,c50f64b44870cff96af0398a16cf69d995af50adcda69c3fe888dde58ffe7c11
1,icosphere_l2,8,2,3,1,stage4_witness,m8_r4,0,7726398136580327770,504e0a4fe560587dfbe701876f75e5ab89a1824f1f251fd562d5e09fccf9217b,150000,92368,23342,69026,2422,target_feasible,True,92368,167,167,1,167,1391,0,0,0,109,910,0,0,0,109,910,b633a8281dc3f1fb867ea08e1caa4bad97c21ab5a70fc14fc0ba312237d5a09a,33a7d1c7020a2118d9f7f4851e13d76b83f290b05f1f594193f2cc345edacf25,33a7d1c7020a2118d9f7f4851e13d76b83f290b05f1f594193f2cc345edacf25,497fccbaf30360474d00e4a5a32498262955b6ee9bd94d9a2597be1e1ed8b86d
1,icosphere_l2,8,2,3,2,stage4_witness,m8_r4,1,15148160348637711450,504e0a4fe560587dfbe701876f75e5ab89a1824f1f251fd562d5e09fccf9217b,150000,104959,26325,78634,2315,target_feasible,True,104959,167,167,1,167,1391,0,0,0,72,836,0,0,0,72,836,b633a8281dc3f1fb867ea08e1caa4bad97c21ab5a70fc14fc0ba312237d5a09a,45e5673b9cecba566f28788153dd49860f6acbb1fe7c53fa5f0001fea5b02127,45e5673b9cecba566f28788153dd49860f6acbb1fe7c53fa5f0001fea5b02127,48530d426abe868f5def91eb77b60cd016f48d5754d958aa8fe8fb74db1273fb
1,icosphere_l2,8,2,3,3,stage3_baseline,canonical_index_binary,0,8227819078447933036,504e0a4fe560587dfbe701876f75e5ab89a1824f1f251fd562d5e09fccf9217b,150000,88772,22219,66553,2333,target_feasible,True,88772,231,417,5,2,1638,0,0,0,101,896,0,0,0,101,896,c96659d499594419a99d7d6e2587cc6ae519794e2e1229fbd0deb1ada399b5a0,21d47db2f5b3e989f2451052e242da3197db3efee9717a9bea10a5772e569cc4,21d47db2f5b3e989f2451052e242da3197db3efee9717a9bea10a5772e569cc4,52d9167bd2618dd7f453b3c7065ce5aa564657547a6a6bdc47747fd8bab07803
1,icosphere_l2,8,2,3,4,stage3_baseline,canonical_index_binary,1,14288405462835687374,504e0a4fe560587dfbe701876f75e5ab89a1824f1f251fd562d5e09fccf9217b,150000,104305,26142,78163,2440,target_feasible,True,104305,231,417,5,2,1638,0,0,0,96,869,0,0,0,96,869,c96659d499594419a99d7d6e2587cc6ae519794e2e1229fbd0deb1ada399b5a0,545135549a5ef6adc43819df4ea7a4584d8af841fccbfa1915ff83bc7c18f566,545135549a5ef6adc43819df4ea7a4584d8af841fccbfa1915ff83bc7c18f566,617355e9e43f4aee6c30e0df4da54adc1080860fb9568aeffffdfbe2642cb485
